coefficients_objectif,matrice_contraintes,borne_contraintes,solution,z_optimal
"[20, 60]","[18, 15, 61, 97, 94, 13]","[37, 59, 115]","[0.0, 0.6]",36
"[60, 34]","[98, 100, 89, 31, 36, 64]","[87, 147, 51]","[0.9, 0.0]",53
"[11, 57]","[47, 42, 18, 58, 4, 21]","[146, 57, 106]","[0.0, 1.0]",56
"[60, 16]","[18, 81, 30, 10, 100, 18]","[100, 128, 147]","[1.3, 0.9]",93
"[1, 60]","[98, 56, 28, 73, 91, 86]","[97, 146, 28]","[0.0, 0.3]",20
"[45, 95]","[34, 6, 78, 85, 38, 29]","[5, 145, 135]","[0.0, 0.8]",79
"[71, 38]","[5, 78, 20, 45, 67, 86]","[45, 110, 81]","[1.2, 0.0]",86
"[4, 17]","[2, 20, 70, 58, 27, 88]","[123, 42, 139]","[0.0, 0.7]",12
"[69, 24]","[39, 44, 5, 33, 87, 100]","[108, 122, 142]","[1.6, 0.0]",113
"[54, 17]","[88, 6, 83, 88, 39, 66]","[93, 100, 139]","[1.0, 0.1]",59
"[32, 63]","[35, 75, 52, 74, 51, 36]","[132, 38, 2]","[0.0, 0.1]",4
"[45, 99]","[4, 70, 21, 37, 15, 76]","[134, 141, 132]","[5.6, 0.6]",315
"[51, 100]","[50, 68, 35, 43, 92, 38]","[4, 26, 140]","[0.0, 0.1]",6
"[67, 70]","[98, 84, 22, 68, 6, 16]","[64, 117, 1]","[0.2, 0.0]",11
"[95, 34]","[83, 63, 25, 61, 67, 74]","[132, 76, 28]","[0.4, 0.0]",40
"[54, 95]","[82, 92, 67, 66, 74, 62]","[93, 150, 130]","[0.0, 1.0]",96
"[35, 27]","[10, 48, 87, 93, 53, 59]","[88, 49, 17]","[0.3, 0.0]",11
"[70, 25]","[84, 75, 64, 21, 43, 77]","[110, 118, 93]","[1.3, 0.0]",92
"[99, 12]","[4, 41, 81, 78, 82, 3]","[102, 83, 69]","[0.8, 0.2]",85
"[41, 43]","[45, 24, 99, 96, 28, 52]","[83, 143, 42]","[1.4, 0.1]",59
"[5, 25]","[50, 16, 5, 82, 21, 56]","[72, 103, 122]","[1.1, 1.2]",35
"[68, 63]","[52, 39, 66, 49, 71, 48]","[138, 114, 43]","[0.0, 0.9]",56
"[21, 19]","[15, 75, 44, 9, 85, 76]","[26, 90, 48]","[0.3, 0.3]",12
"[20, 31]","[78, 2, 14, 34, 72, 29]","[13, 128, 54]","[0.0, 1.9]",58
"[93, 2]","[86, 64, 53, 6, 5, 16]","[76, 16, 35]","[0.3, 0.0]",28
"[62, 36]","[69, 45, 2, 20, 44, 68]","[148, 112, 75]","[1.7, 0.0]",106
"[53, 47]","[2, 21, 99, 84, 71, 69]","[8, 33, 86]","[0.0, 0.4]",18
"[71, 86]","[100, 32, 76, 69, 10, 58]","[26, 54, 90]","[0.0, 0.8]",67
"[71, 93]","[24, 51, 13, 34, 1, 18]","[32, 56, 11]","[1.3, 0.0]",95
"[43, 12]","[16, 100, 15, 74, 100, 56]","[50, 14, 86]","[0.9, 0.0]",37
"[91, 10]","[84, 62, 2, 35, 34, 28]","[35, 78, 112]","[0.4, 0.0]",38
"[10, 63]","[29, 47, 8, 50, 48, 88]","[92, 137, 5]","[0.0, 0.1]",4
"[68, 42]","[79, 58, 35, 97, 14, 10]","[38, 90, 85]","[0.5, 0.0]",33
"[48, 32]","[93, 6, 76, 35, 89, 52]","[94, 55, 3]","[0.0, 0.1]",2
"[69, 6]","[24, 60, 22, 27, 70, 50]","[112, 132, 39]","[0.6, 0.0]",38
"[22, 48]","[27, 88, 24, 37, 70, 40]","[67, 38, 2]","[0.0, 0.1]",2
"[74, 7]","[89, 65, 70, 11, 99, 50]","[19, 113, 45]","[0.2, 0.0]",16
"[6, 69]","[80, 6, 28, 97, 13, 22]","[63, 45, 130]","[0.0, 0.5]",32
"[74, 35]","[85, 24, 45, 82, 92, 32]","[9, 50, 133]","[0.0, 0.4]",13
"[70, 87]","[53, 65, 35, 9, 84, 42]","[138, 3, 77]","[0.0, 0.3]",29
"[29, 15]","[79, 51, 61, 90, 27, 2]","[18, 112, 89]","[0.2, 0.0]",7
"[44, 36]","[10, 29, 52, 38, 5, 74]","[17, 81, 113]","[1.5, 0.1]",69
"[1, 6]","[10, 27, 30, 93, 10, 73]","[143, 58, 132]","[0.0, 0.6]",4
"[60, 47]","[18, 66, 8, 4, 89, 12]","[65, 95, 56]","[0.5, 0.8]",71
"[31, 73]","[53, 68, 22, 94, 11, 77]","[13, 128, 92]","[0.0, 0.2]",14
"[23, 15]","[42, 13, 67, 94, 29, 89]","[107, 97, 62]","[1.4, 0.0]",33
"[56, 54]","[77, 6, 46, 83, 31, 25]","[137, 109, 51]","[1.1, 0.7]",99
"[52, 21]","[39, 67, 40, 61, 36, 99]","[144, 138, 81]","[2.2, 0.0]",117
"[74, 3]","[85, 43, 22, 9, 71, 82]","[66, 30, 69]","[0.8, 0.0]",57
"[76, 82]","[79, 83, 19, 7, 77, 53]","[58, 88, 125]","[0.0, 0.7]",57
"[44, 38]","[43, 33, 55, 44, 58, 18]","[119, 67, 32]","[0.0, 1.5]",58
"[89, 91]","[61, 44, 95, 96, 60, 19]","[13, 59, 119]","[0.0, 0.3]",27
"[63, 52]","[14, 88, 47, 62, 39, 39]","[103, 80, 66]","[1.7, 0.0]",107
"[42, 88]","[96, 28, 41, 97, 26, 61]","[79, 101, 70]","[0.6, 0.8]",94
"[63, 30]","[65, 8, 63, 94, 69, 71]","[54, 95, 76]","[0.8, 0.3]",59
"[22, 47]","[70, 17, 74, 56, 43, 58]","[103, 115, 3]","[0.0, 0.1]",2
"[4, 79]","[6, 43, 11, 89, 20, 85]","[74, 21, 110]","[0.0, 0.2]",19
"[32, 24]","[37, 35, 77, 36, 73, 55]","[83, 21, 62]","[0.0, 0.6]",14
"[20, 2]","[47, 44, 65, 28, 61, 16]","[89, 87, 56]","[0.9, 0.0]",18
"[20, 56]","[12, 100, 61, 60, 66, 69]","[17, 19, 113]","[0.2, 0.2]",12
"[11, 29]","[49, 26, 23, 48, 15, 78]","[49, 84, 2]","[0.1, 0.0]",1
"[64, 57]","[67, 15, 62, 1, 95, 39]","[132, 70, 84]","[0.0, 2.2]",123
"[87, 17]","[8, 79, 37, 98, 6, 59]","[75, 126, 78]","[3.4, 0.0]",296
"[96, 46]","[53, 26, 91, 48, 22, 63]","[111, 66, 107]","[0.7, 0.0]",70
"[92, 22]","[74, 32, 94, 5, 99, 23]","[69, 18, 110]","[0.1, 2.0]",51
"[61, 43]","[31, 87, 40, 52, 52, 50]","[25, 79, 122]","[0.8, 0.0]",49
"[31, 17]","[61, 11, 21, 97, 46, 89]","[89, 145, 140]","[1.3, 0.9]",56
"[85, 57]","[41, 60, 1, 92, 11, 51]","[81, 122, 33]","[2.0, 0.0]",168
"[83, 53]","[37, 96, 41, 2, 77, 18]","[30, 21, 68]","[0.5, 0.1]",48
"[32, 31]","[56, 96, 73, 30, 95, 100]","[40, 91, 38]","[0.4, 0.0]",13
"[24, 62]","[67, 49, 57, 32, 26, 85]","[44, 50, 129]","[0.0, 0.9]",56
"[60, 23]","[28, 64, 6, 56, 67, 84]","[123, 75, 58]","[0.9, 0.0]",52
"[89, 65]","[9, 21, 91, 39, 70, 83]","[42, 127, 3]","[0.0, 0.0]",4
"[55, 21]","[39, 90, 14, 46, 18, 48]","[91, 136, 35]","[1.9, 0.0]",107
"[28, 50]","[26, 77, 1, 42, 26, 75]","[26, 53, 132]","[1.0, 0.0]",28
"[47, 81]","[13, 1, 80, 53, 97, 26]","[4, 23, 78]","[0.0, 0.4]",35
"[71, 88]","[95, 43, 88, 20, 48, 31]","[12, 39, 122]","[0.0, 0.3]",25
"[69, 27]","[8, 48, 8, 69, 16, 10]","[86, 132, 79]","[4.9, 0.0]",341
"[6, 3]","[1, 8, 19, 19, 82, 33]","[29, 1, 56]","[0.1, 0.0]",0
"[67, 14]","[51, 92, 30, 5, 42, 32]","[98, 138, 67]","[1.6, 0.0]",107
"[69, 25]","[65, 64, 2, 20, 34, 2]","[11, 62, 128]","[0.2, 0.0]",12
"[53, 77]","[44, 100, 67, 9, 33, 79]","[118, 46, 44]","[0.6, 0.3]",56
"[53, 6]","[24, 40, 63, 77, 62, 33]","[39, 94, 19]","[0.3, 0.0]",16
"[39, 27]","[57, 67, 75, 67, 66, 99]","[17, 43, 110]","[0.3, 0.0]",12
"[53, 76]","[51, 97, 41, 21, 57, 1]","[111, 81, 144]","[1.9, 0.1]",112
"[72, 76]","[61, 69, 46, 80, 75, 21]","[75, 114, 97]","[1.2, 0.0]",89
"[70, 14]","[31, 37, 27, 94, 85, 32]","[86, 124, 95]","[1.1, 0.0]",78
"[44, 37]","[11, 98, 40, 47, 44, 84]","[131, 19, 50]","[0.5, 0.0]",21
"[27, 45]","[53, 84, 82, 67, 19, 50]","[105, 64, 61]","[0.0, 1.0]",43
"[28, 37]","[8, 71, 39, 95, 50, 24]","[37, 134, 148]","[2.9, 0.2]",88
"[78, 51]","[42, 23, 8, 16, 82, 7]","[69, 38, 17]","[0.0, 2.4]",121
"[80, 26]","[37, 60, 48, 66, 99, 6]","[86, 93, 69]","[0.6, 0.9]",76
"[5, 62]","[23, 1, 20, 72, 75, 32]","[8, 62, 114]","[0.0, 0.9]",53
"[12, 70]","[69, 78, 93, 1, 94, 61]","[23, 5, 21]","[0.0, 0.3]",21
"[81, 18]","[50, 27, 52, 89, 43, 22]","[58, 51, 140]","[1.0, 0.0]",79
"[93, 100]","[39, 82, 35, 65, 8, 58]","[96, 30, 141]","[0.9, 0.0]",80
"[55, 100]","[1, 100, 73, 69, 11, 3]","[66, 115, 15]","[1.0, 0.7]",118
"[91, 12]","[24, 1, 37, 56, 26, 6]","[44, 137, 26]","[1.0, 0.0]",91
"[60, 58]","[54, 68, 16, 65, 51, 67]","[97, 61, 53]","[1.0, 0.0]",62
"[20, 52]","[26, 82, 58, 54, 41, 53]","[66, 99, 59]","[0.7, 0.6]",44
"[86, 75]","[76, 92, 89, 91, 25, 99]","[17, 101, 85]","[0.2, 0.0]",19
"[22, 56]","[22, 55, 58, 95, 43, 81]","[38, 129, 143]","[0.0, 0.7]",39
"[64, 44]","[38, 67, 17, 53, 5, 51]","[92, 14, 66]","[0.8, 0.0]",53
"[36, 44]","[89, 42, 1, 8, 9, 46]","[142, 47, 78]","[0.9, 1.5]",99
"[48, 63]","[37, 16, 69, 41, 36, 57]","[80, 67, 126]","[0.0, 1.6]",103
"[83, 2]","[19, 100, 55, 9, 72, 48]","[91, 130, 53]","[0.7, 0.0]",61
"[51, 90]","[24, 58, 79, 73, 91, 53]","[131, 59, 126]","[0.0, 0.8]",73
"[51, 61]","[37, 25, 10, 15, 61, 6]","[94, 20, 122]","[2.0, 0.0]",102
"[11, 48]","[98, 38, 95, 54, 42, 37]","[98, 75, 58]","[0.0, 1.4]",67
"[2, 23]","[69, 50, 63, 82, 72, 89]","[35, 8, 141]","[0.0, 0.1]",2
"[44, 24]","[96, 8, 47, 85, 6, 41]","[66, 88, 72]","[0.6, 0.7]",44
"[1, 58]","[73, 48, 87, 93, 70, 51]","[43, 16, 58]","[0.0, 0.2]",10
"[37, 95]","[30, 88, 66, 41, 20, 52]","[91, 9, 9]","[0.0, 0.2]",16
"[14, 1]","[55, 63, 20, 23, 77, 17]","[96, 42, 97]","[1.3, 0.0]",18
"[79, 45]","[7, 27, 93, 10, 34, 27]","[147, 32, 48]","[0.2, 1.6]",84
"[19, 86]","[15, 46, 6, 49, 2, 57]","[54, 25, 72]","[3.3, 0.1]",71
"[47, 21]","[15, 10, 77, 2, 38, 53]","[133, 34, 44]","[0.4, 0.5]",31
"[56, 70]","[13, 69, 40, 95, 23, 51]","[54, 139, 102]","[3.5, 0.0]",195
"[50, 25]","[46, 55, 26, 87, 83, 31]","[87, 131, 93]","[0.8, 0.9]",62
"[47, 96]","[91, 33, 55, 60, 93, 19]","[147, 85, 24]","[0.0, 1.3]",121
"[92, 65]","[33, 75, 20, 64, 14, 81]","[89, 30, 63]","[1.5, 0.0]",138
"[68, 7]","[54, 70, 34, 3, 40, 39]","[72, 101, 35]","[0.9, 0.0]",60
"[72, 31]","[37, 37, 78, 47, 54, 27]","[137, 97, 94]","[1.2, 0.0]",90
"[92, 76]","[25, 48, 64, 51, 69, 5]","[75, 17, 75]","[0.0, 0.3]",25
"[15, 17]","[98, 60, 96, 86, 61, 2]","[2, 33, 124]","[0.0, 0.0]",1
"[4, 16]","[44, 38, 49, 5, 89, 61]","[37, 33, 46]","[0.0, 0.8]",12
"[24, 72]","[1, 43, 6, 89, 42, 4]","[130, 132, 110]","[2.5, 1.3]",155
"[53, 12]","[96, 89, 90, 35, 71, 89]","[138, 115, 142]","[1.3, 0.0]",68
"[96, 13]","[78, 54, 46, 47, 15, 36]","[98, 28, 49]","[0.6, 0.0]",58
"[20, 81]","[93, 42, 38, 57, 83, 45]","[6, 134, 39]","[0.0, 0.1]",12
"[24, 100]","[73, 81, 59, 51, 20, 59]","[116, 107, 121]","[0.0, 1.4]",143
"[24, 28]","[77, 33, 18, 51, 82, 24]","[40, 71, 129]","[0.0, 1.2]",34
"[67, 8]","[40, 88, 57, 49, 54, 19]","[54, 29, 119]","[0.5, 0.0]",34
"[29, 7]","[41, 47, 93, 46, 19, 14]","[109, 31, 9]","[0.3, 0.0]",10
"[80, 74]","[86, 62, 40, 57, 59, 38]","[146, 22, 75]","[0.6, 0.0]",44
"[26, 50]","[97, 62, 8, 78, 82, 75]","[93, 85, 125]","[0.3, 1.1]",60
"[70, 75]","[20, 36, 58, 35, 39, 71]","[82, 38, 112]","[0.0, 1.1]",81
"[48, 12]","[66, 13, 34, 79, 65, 61]","[60, 2, 15]","[0.1, 0.0]",3
"[21, 22]","[16, 54, 2, 68, 30, 19]","[136, 1, 113]","[0.5, 0.0]",10
"[40, 71]","[11, 36, 12, 62, 87, 80]","[5, 48, 132]","[0.5, 0.0]",18
"[61, 81]","[26, 63, 61, 56, 70, 60]","[44, 140, 70]","[0.6, 0.4]",74
"[46, 78]","[21, 21, 47, 31, 50, 25]","[62, 147, 132]","[0.0, 3.0]",230
"[69, 38]","[44, 19, 79, 57, 61, 86]","[76, 146, 40]","[0.7, 0.0]",45
"[71, 76]","[42, 87, 54, 76, 60, 100]","[127, 67, 128]","[1.2, 0.0]",88
"[30, 44]","[91, 71, 58, 69, 5, 5]","[93, 106, 84]","[0.0, 1.3]",58
"[32, 63]","[72, 40, 37, 15, 61, 61]","[132, 20, 111]","[0.0, 1.3]",84
"[30, 48]","[61, 86, 44, 31, 53, 65]","[41, 90, 10]","[0.0, 0.2]",7
"[59, 34]","[21, 68, 16, 6, 45, 85]","[81, 126, 57]","[1.3, 0.0]",75
"[71, 76]","[69, 74, 80, 14, 98, 43]","[142, 56, 67]","[0.0, 1.6]",118
"[55, 6]","[41, 9, 30, 33, 37, 65]","[101, 113, 63]","[1.7, 0.0]",94
"[82, 12]","[31, 2, 35, 56, 24, 50]","[39, 58, 5]","[0.2, 0.0]",17
"[30, 11]","[74, 43, 30, 6, 22, 87]","[68, 53, 87]","[0.9, 0.0]",28
"[87, 88]","[78, 29, 88, 77, 10, 58]","[59, 90, 87]","[0.0, 1.2]",103
"[62, 75]","[67, 63, 100, 39, 96, 41]","[44, 60, 74]","[0.0, 0.7]",52
"[66, 93]","[8, 55, 44, 75, 7, 29]","[121, 15, 112]","[0.3, 0.0]",22
"[36, 42]","[98, 15, 98, 91, 75, 40]","[59, 26, 98]","[0.0, 0.3]",12
"[31, 66]","[13, 72, 84, 84, 4, 16]","[133, 115, 114]","[0.0, 1.4]",90
"[66, 65]","[1, 53, 18, 85, 90, 63]","[76, 68, 4]","[0.0, 0.1]",4
"[49, 85]","[61, 21, 1, 81, 59, 47]","[81, 3, 84]","[1.3, 0.0]",66
"[17, 58]","[54, 8, 94, 21, 2, 25]","[117, 112, 42]","[0.8, 1.6]",108
"[37, 99]","[67, 8, 6, 71, 51, 15]","[8, 130, 21]","[0.0, 1.0]",99
"[12, 78]","[80, 25, 53, 65, 46, 4]","[21, 14, 101]","[0.0, 0.2]",17
"[95, 37]","[97, 46, 89, 40, 41, 83]","[112, 65, 24]","[0.6, 0.0]",56
"[80, 67]","[4, 60, 95, 98, 20, 99]","[111, 103, 36]","[1.1, 0.0]",87
"[23, 7]","[71, 8, 67, 35, 83, 11]","[50, 138, 66]","[0.3, 3.3]",31
"[21, 60]","[51, 23, 50, 35, 37, 67]","[55, 38, 118]","[0.0, 1.1]",65
"[49, 11]","[37, 39, 94, 68, 51, 15]","[88, 129, 31]","[0.6, 0.0]",30
"[48, 26]","[77, 70, 81, 7, 31, 5]","[118, 36, 149]","[0.3, 1.3]",50
"[13, 77]","[5, 20, 83, 97, 48, 46]","[88, 79, 143]","[0.0, 0.8]",63
"[27, 36]","[9, 95, 68, 21, 61, 45]","[28, 44, 143]","[0.6, 0.2]",24
"[98, 44]","[66, 84, 85, 13, 99, 76]","[51, 113, 79]","[0.8, 0.0]",76
"[68, 49]","[75, 45, 66, 84, 15, 22]","[102, 58, 56]","[0.9, 0.0]",60
"[39, 98]","[24, 100, 61, 60, 97, 9]","[75, 35, 84]","[0.0, 0.6]",57
"[93, 12]","[28, 30, 56, 66, 48, 67]","[98, 45, 36]","[0.8, 0.0]",70
"[31, 29]","[92, 80, 96, 78, 58, 25]","[61, 97, 89]","[0.0, 0.8]",22
"[7, 52]","[18, 20, 59, 40, 79, 84]","[146, 92, 24]","[0.0, 0.3]",15
"[46, 66]","[28, 24, 16, 29, 80, 4]","[120, 103, 21]","[0.1, 3.5]",235
"[73, 54]","[1, 99, 59, 4, 39, 38]","[78, 17, 95]","[0.2, 0.8]",60
"[54, 72]","[14, 52, 25, 33, 39, 12]","[30, 131, 52]","[1.3, 0.2]",85
"[10, 38]","[10, 99, 26, 80, 4, 45]","[65, 140, 82]","[4.9, 0.2]",55
"[81, 87]","[34, 78, 49, 5, 84, 19]","[8, 21, 68]","[0.2, 0.0]",19
"[9, 84]","[82, 53, 73, 49, 48, 40]","[140, 82, 97]","[0.0, 1.7]",141
"[64, 36]","[78, 45, 76, 95, 55, 16]","[38, 24, 101]","[0.3, 0.0]",20
"[57, 44]","[73, 5, 74, 53, 47, 81]","[128, 125, 79]","[1.7, 0.0]",96
"[41, 14]","[46, 73, 14, 59, 47, 100]","[145, 36, 111]","[2.4, 0.0]",97
"[16, 86]","[79, 3, 19, 20, 14, 93]","[109, 149, 28]","[1.4, 0.1]",30
"[26, 54]","[36, 79, 7, 75, 92, 4]","[22, 100, 146]","[0.6, 0.0]",16
"[85, 94]","[90, 39, 52, 80, 56, 44]","[97, 147, 50]","[0.0, 1.1]",107
"[12, 62]","[69, 52, 30, 3, 79, 16]","[72, 45, 113]","[0.0, 1.4]",86
"[70, 21]","[39, 93, 29, 21, 97, 37]","[98, 72, 56]","[0.6, 0.0]",40
"[4, 15]","[90, 53, 71, 43, 63, 32]","[14, 69, 137]","[0.0, 0.3]",4
"[78, 13]","[6, 26, 43, 23, 17, 85]","[145, 133, 28]","[1.6, 0.0]",128
"[29, 72]","[67, 68, 88, 50, 60, 10]","[131, 25, 57]","[0.0, 0.5]",36
"[92, 7]","[68, 74, 94, 94, 93, 83]","[147, 82, 113]","[0.9, 0.0]",80
"[53, 44]","[72, 78, 20, 83, 9, 83]","[99, 109, 136]","[1.4, 0.0]",73
"[83, 27]","[84, 42, 29, 79, 68, 81]","[122, 5, 144]","[0.2, 0.0]",14
"[96, 67]","[12, 28, 48, 34, 97, 63]","[3, 50, 70]","[0.2, 0.0]",24
"[98, 73]","[32, 45, 17, 51, 78, 92]","[149, 112, 40]","[0.5, 0.0]",50
"[64, 20]","[40, 42, 83, 29, 27, 32]","[140, 142, 84]","[1.7, 0.0]",109
"[38, 28]","[84, 47, 35, 61, 45, 95]","[17, 49, 58]","[0.0, 0.4]",10
"[82, 17]","[76, 51, 98, 56, 40, 46]","[28, 41, 114]","[0.4, 0.0]",30
"[67, 71]","[92, 96, 97, 83, 48, 68]","[60, 60, 107]","[0.0, 0.6]",44
"[86, 55]","[41, 66, 25, 35, 75, 97]","[103, 101, 38]","[0.5, 0.0]",44
"[44, 39]","[98, 5, 83, 89, 81, 49]","[105, 61, 6]","[0.0, 0.1]",5
"[31, 83]","[5, 1, 22, 40, 54, 30]","[85, 52, 78]","[0.0, 1.3]",108
"[24, 98]","[23, 27, 96, 40, 17, 26]","[20, 106, 24]","[0.0, 0.7]",73
"[77, 64]","[56, 65, 84, 12, 95, 44]","[142, 46, 79]","[0.0, 1.8]",115
"[85, 28]","[94, 50, 72, 7, 7, 3]","[46, 36, 54]","[0.5, 0.0]",42
"[77, 64]","[71, 65, 74, 34, 12, 35]","[70, 9, 129]","[0.0, 0.3]",17
"[7, 93]","[1, 60, 77, 87, 51, 48]","[45, 119, 137]","[0.7, 0.7]",74
"[80, 44]","[4, 47, 8, 15, 45, 11]","[96, 95, 36]","[0.3, 2.0]",113
"[23, 28]","[70, 54, 1, 12, 26, 1]","[51, 102, 125]","[0.0, 0.9]",26
"[29, 8]","[9, 64, 72, 64, 33, 13]","[65, 49, 7]","[0.2, 0.0]",6
"[92, 77]","[56, 9, 33, 49, 7, 5]","[66, 147, 3]","[0.0, 0.6]",46
"[47, 10]","[90, 37, 41, 96, 60, 23]","[145, 43, 136]","[1.0, 0.0]",49
"[90, 86]","[93, 4, 45, 60, 89, 14]","[93, 80, 144]","[1.0, 0.6]",140
"[7, 76]","[6, 31, 17, 16, 68, 30]","[75, 48, 31]","[0.0, 1.0]",79
"[7, 6]","[35, 81, 42, 65, 34, 75]","[96, 46, 26]","[0.8, 0.0]",5
"[31, 90]","[72, 58, 86, 61, 55, 37]","[8, 57, 12]","[0.0, 0.1]",12
"[78, 60]","[37, 57, 8, 62, 73, 89]","[38, 66, 59]","[0.8, 0.0]",63
"[17, 51]","[17, 23, 18, 11, 38, 46]","[141, 36, 104]","[0.0, 2.3]",115
"[47, 77]","[59, 54, 14, 5, 58, 50]","[59, 91, 121]","[0.0, 1.1]",84
"[97, 49]","[24, 68, 75, 13, 89, 91]","[42, 28, 114]","[0.3, 0.5]",53
"[72, 95]","[32, 75, 37, 22, 76, 33]","[27, 9, 138]","[0.0, 0.3]",35
"[80, 90]","[31, 42, 84, 100, 2, 22]","[65, 2, 145]","[0.0, 0.0]",2
"[57, 49]","[87, 27, 57, 36, 47, 37]","[6, 51, 130]","[0.0, 0.2]",11
"[20, 86]","[25, 19, 46, 88, 65, 32]","[141, 96, 85]","[0.0, 1.1]",94
"[57, 67]","[35, 37, 78, 27, 72, 60]","[35, 82, 31]","[0.0, 0.5]",35
"[7, 94]","[92, 97, 24, 61, 12, 77]","[63, 24, 113]","[0.0, 0.4]",37
"[69, 59]","[50, 80, 97, 27, 81, 41]","[145, 67, 111]","[0.2, 1.7]",114
"[76, 32]","[22, 46, 45, 81, 38, 87]","[96, 121, 108]","[2.7, 0.0]",204
"[82, 74]","[6, 87, 22, 86, 97, 34]","[139, 52, 51]","[0.3, 0.5]",66
"[12, 31]","[28, 73, 12, 38, 35, 67]","[94, 16, 5]","[0.0, 0.1]",2
"[91, 4]","[21, 100, 37, 6, 68, 84]","[88, 24, 144]","[0.6, 0.0]",59
"[63, 32]","[48, 29, 71, 20, 29, 99]","[68, 125, 113]","[1.4, 0.0]",89
"[86, 89]","[80, 93, 92, 48, 70, 27]","[63, 110, 40]","[0.5, 0.3]",65
"[14, 85]","[95, 56, 19, 73, 24, 43]","[99, 125, 82]","[0.0, 1.7]",146
"[36, 46]","[80, 75, 73, 80, 27, 82]","[19, 149, 107]","[0.0, 0.3]",12
"[44, 37]","[3, 13, 76, 94, 88, 95]","[48, 47, 57]","[0.6, 0.0]",27
"[56, 37]","[71, 38, 66, 73, 51, 98]","[92, 27, 65]","[0.4, 0.0]",23
"[89, 85]","[52, 5, 80, 82, 33, 73]","[16, 123, 33]","[0.3, 0.3]",52
"[1, 5]","[52, 62, 16, 6, 67, 86]","[29, 107, 71]","[0.0, 0.5]",2
"[97, 95]","[64, 97, 76, 48, 79, 82]","[5, 44, 102]","[0.1, 0.0]",8
"[24, 56]","[42, 16, 88, 67, 68, 53]","[26, 21, 91]","[0.0, 0.3]",18
"[76, 80]","[65, 11, 9, 43, 45, 17]","[41, 24, 32]","[0.5, 0.4]",77
"[27, 59]","[47, 16, 67, 87, 21, 18]","[3, 83, 49]","[0.0, 0.2]",11
"[37, 75]","[58, 99, 50, 85, 56, 54]","[37, 126, 120]","[0.0, 0.4]",28
"[49, 70]","[94, 41, 2, 82, 49, 10]","[75, 57, 140]","[0.5, 0.7]",72
"[73, 81]","[62, 61, 95, 25, 94, 6]","[119, 58, 74]","[0.0, 2.0]",158
"[66, 42]","[55, 37, 82, 86, 74, 73]","[71, 70, 32]","[0.4, 0.0]",29
"[62, 39]","[97, 89, 68, 70, 7, 72]","[130, 83, 9]","[1.2, 0.0]",76
"[61, 73]","[93, 23, 19, 33, 21, 74]","[148, 47, 129]","[1.4, 0.6]",131
"[24, 84]","[44, 58, 19, 94, 54, 20]","[95, 134, 137]","[0.4, 1.3]",122
"[58, 54]","[36, 50, 32, 20, 36, 70]","[100, 142, 46]","[1.3, 0.0]",74
"[55, 8]","[100, 74, 17, 29, 25, 71]","[78, 123, 1]","[0.0, 0.0]",2
"[54, 78]","[6, 99, 38, 62, 90, 43]","[17, 76, 96]","[1.0, 0.1]",63
"[30, 96]","[98, 82, 29, 100, 77, 3]","[46, 6, 14]","[0.2, 0.0]",6
"[7, 69]","[21, 12, 95, 62, 65, 6]","[79, 5, 41]","[0.0, 0.1]",6
"[72, 63]","[25, 22, 97, 86, 19, 11]","[99, 44, 82]","[0.5, 0.0]",33
"[42, 86]","[26, 81, 81, 48, 23, 21]","[148, 8, 128]","[0.0, 0.2]",14
"[2, 82]","[26, 49, 28, 71, 89, 25]","[43, 32, 35]","[0.0, 0.5]",37
"[12, 58]","[88, 46, 24, 52, 24, 26]","[6, 32, 66]","[0.0, 0.1]",8
"[94, 67]","[93, 60, 67, 2, 48, 48]","[145, 83, 17]","[0.4, 0.0]",33
"[10, 65]","[6, 70, 2, 98, 34, 73]","[99, 42, 74]","[1.3, 0.4]",39
"[17, 100]","[78, 2, 31, 81, 14, 71]","[124, 132, 21]","[0.0, 0.3]",30
"[32, 45]","[66, 21, 19, 52, 9, 87]","[121, 20, 21]","[1.1, 0.0]",34
"[41, 8]","[13, 9, 75, 84, 65, 50]","[95, 1, 81]","[0.0, 0.0]",1
"[40, 68]","[22, 88, 24, 28, 91, 94]","[54, 49, 46]","[0.0, 0.5]",33
"[50, 45]","[82, 85, 41, 22, 82, 24]","[15, 135, 68]","[0.2, 0.0]",9
"[83, 27]","[90, 94, 99, 8, 95, 42]","[143, 106, 131]","[1.0, 0.5]",100
"[71, 99]","[29, 19, 81, 14, 35, 87]","[35, 12, 15]","[0.1, 0.1]",21
"[7, 58]","[37, 19, 48, 42, 2, 95]","[21, 30, 10]","[0.5, 0.1]",9
"[58, 60]","[52, 41, 95, 55, 74, 18]","[117, 150, 51]","[0.0, 2.7]",164
"[4, 88]","[60, 92, 28, 69, 97, 3]","[44, 146, 128]","[0.0, 0.5]",42
"[5, 66]","[40, 11, 65, 21, 86, 16]","[136, 89, 64]","[0.0, 4.0]",264
"[90, 51]","[96, 84, 28, 81, 54, 69]","[6, 12, 51]","[0.1, 0.0]",6
"[72, 74]","[97, 8, 11, 67, 50, 8]","[129, 148, 109]","[1.2, 2.0]",233
"[66, 54]","[57, 57, 87, 98, 23, 99]","[120, 66, 30]","[0.8, 0.0]",50
"[35, 58]","[58, 13, 19, 91, 20, 76]","[124, 30, 69]","[1.6, 0.0]",55
